latitude,longitude,date,time_of_day,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,weather_code,location,heat_index,is_raining
43.2965,5.3698,2025-02-25,Night,-1.3396729455096719,0.018645950845126127,0.08513531851137504,0.5429090976884772,0.0,Marseille 02,-0.9518955954129144,1
43.2965,5.3698,2025-02-25,Morning,-1.5007529202816625,0.10145040824287371,0.08513534312189223,0.5477888998482531,0.0,Marseille 02,-1.0423300073847397,1
43.2965,5.3698,2025-02-25,Afternoon,-1.3461719877792748,0.1231998136895461,0.08513536563825706,0.5423161689066677,0.0,Marseille 02,-0.9555443237347527,1
43.2965,5.3698,2025-02-25,Evening,-1.1645946827246723,0.03297946862366989,0.08513537672972606,0.53662698776711,0.0,Marseille 02,-0.8536021870210767,1
43.2965,5.3698,2025-02-26,Night,-1.3285880087210429,0.014804738131418634,0.08513538661081539,0.5425296408871031,0.0,Marseille 02,-0.9456722287800134,1
43.2965,5.3698,2025-02-26,Morning,-1.492731230030013,0.11296050694431103,0.08513541121664708,0.5490126910230104,0.0,Marseille 02,-1.0378264255959115,1
43.2965,5.3698,2025-02-26,Afternoon,-1.325050710435094,0.1265235458064421,0.08513543020783475,0.5427794017392639,0.0,Marseille 02,-0.9436862991763394,1
43.2965,5.3698,2025-02-26,Evening,-1.139970628866847,0.020242935933156236,0.08513539427622466,0.5352899549962187,0.0,Marseille 02,-0.8397776142636801,1
43.2965,5.3698,2025-03-01,Night,-1.3173074769395852,0.011687898659827676,0.08513529158070549,0.5419704620594549,0.0,Marseille 02,-0.9393390501224577,1
43.2965,5.3698,2025-03-01,Morning,-1.4844230614997513,0.12648070268344186,0.0851351427692304,0.5504503335278281,0.0,Marseille 02,-1.0331620075845442,1
43.2965,5.3698,2025-03-01,Afternoon,-1.3027251424912318,0.1285531578139502,0.08513493528632168,0.5434941285173033,0.0,Marseille 02,-0.931152155116545,1
43.2965,5.3698,2025-03-01,Evening,-1.1145879267640082,0.00496227732301707,0.08513465794461411,0.533687823496026,0.0,Marseille 02,-0.8255271170049396,1
43.2965,5.3698,2025-03-02,Night,-1.3058158764348842,0.009555420385865966,0.08513444243925405,0.5411715097798253,0.0,Marseille 02,-0.9328873720927782,1
43.2965,5.3698,2025-03-02,Morning,-1.4758249118522029,0.14197222272040863,0.08513444007632755,0.5521623426078933,0.0,Marseille 02,-1.0283347867675405,1
43.2965,5.3698,2025-03-02,Afternoon,-1.2790951242004522,0.12856431623327833,0.08513454142273548,0.5444948302563584,0.0,Marseille 02,-0.9178856593150959,1
43.2965,5.3698,2025-03-02,Evening,-1.0884365537981684,-0.013426159909685266,0.085134472087031,0.5318491967802573,0.0,Marseille 02,-0.8108450682911299,1
43.2965,5.3698,2025-03-03,Night,-1.2940512915509224,0.008532744978473302,0.08513442628702544,0.5399887990664334,0.0,Marseille 02,-0.9262824336603026,1
43.2965,5.3698,2025-03-03,Morning,-1.4668883723227353,0.15926105231780127,0.08513501064171794,0.5542444804217274,0.0,Marseille 02,-1.0233175852280298,1
43.2965,5.3698,2025-03-03,Afternoon,-1.2540062346581597,0.12574685733972085,0.08513638742075555,0.5458946738231413,0.0,Marseille 02,-0.9038001159320966,1
43.2965,5.3698,2025-03-03,Evening,-1.0614914317963517,-0.03520771539665412,0.08513814554970892,0.5296821157409635,0.0,Marseille 02,-0.795717388595422,1
43.2965,5.3698,2025-03-04,Night,-1.2819871982657631,0.0093057063468265,0.08514037732353649,0.5384872609371804,0.0,Marseille 02,-0.919509343561667,1
43.2965,5.3698,2025-03-04,Morning,-1.4576831976718148,0.17847595072074107,0.08514324880877432,0.5566142340327657,0.0,Marseille 02,-1.0181495650701404,1
43.2965,5.3698,2025-03-04,Afternoon,-1.2274552147345197,0.11950344013064666,0.08514511619599387,0.5479089923196574,0.0,Marseille 02,-0.8888936952088168,1
43.2965,5.3698,2025-03-04,Evening,-1.0338957444220558,-0.06068380003045893,0.08514352926759534,0.5270917450943681,0.0,Marseille 02,-0.7802244648835496,1
43.2965,5.3698,2025-03-05,Night,-1.2696868817361715,0.012062372499939295,0.08513975580815111,0.5364629967274216,0.0,Marseille 02,-0.9126036317002423,1
43.2965,5.3698,2025-03-05,Morning,-1.4483295477453402,0.198981592497944,0.08513823374682289,0.5594440091767552,0.0,Marseille 02,-1.0128981871003564,1
43.2965,5.3698,2025-03-05,Afternoon,-1.199437405115528,0.10848017595302652,0.08513758278092243,0.5503554541590424,0.0,Marseille 02,-0.873163781287371,1
43.2965,5.3698,2025-03-05,Evening,-1.0057765800761416,-0.09049469615258814,0.08513001033317305,0.5243912690924681,0.0,Marseille 02,-0.7644376478297139,1
43.2965,5.3698,2025-03-06,Night,-1.257107525924278,0.018213261984830174,0.08511357003311425,0.5334502270823649,0.0,Marseille 02,-0.9055412600588062,1
43.2965,5.3698,2025-03-06,Morning,-1.4386196453983386,0.22224077165395525,0.08509492674971826,0.5627598663380358,0.0,Marseille 02,-1.0074467999226646,1
43.2965,5.3698,2025-03-06,Afternoon,-1.1693725841064497,0.09436999726135874,0.08507396097240917,0.5536200113732105,0.0,Marseille 02,-0.8562846228889246,1
43.2965,5.3698,2025-03-06,Evening,-0.9766033013625343,-0.12060381316419704,0.08504568636097974,0.5207153877172658,0.0,Marseille 02,-0.748059024046778,1
43.2965,5.3698,2025-03-07,Night,-1.2437478211952355,0.03244772213489345,0.0850322460065168,0.5293652136974366,0.0,Marseille 02,-0.8980407806044335,1
